size,graph,idx,gw_solution,gw_val,opt_solution,opt_val,optimal,ar,worst_val,num_cuts
12,reg3,0,1223,16.0,1223_2872,16.0,True,1.0,0.0,5
12,reg3,1,127,15.0,127_684_3411_3968,15.0,True,1.0,0.0,5
12,reg3,2,1295,16.0,1295_2800,16.0,True,1.0,0.0,5
12,reg3,3,1452,16.0,627_1452_2643_3468,16.0,True,1.0,0.0,5
12,reg3,4,219,16.0,219_3876,16.0,True,1.0,0.0,5
12,reg3,5,950,15.0,950_3145,15.0,True,1.0,0.0,5
12,reg3,6,717,16.0,717_3378,16.0,True,1.0,0.0,5
12,reg3,7,543,16.0,543_3552,16.0,True,1.0,0.0,5
12,reg3,8,250,14.0,250_377_504_670_797_825_924_952_1223_1230_1251_1258_1671_1678_2417_2424_2837_2844_2865_2872_3143_3171_3270_3298_3425_3591_3718_3845,14.0,True,1.0,0.0,5
12,reg3,9,1932,16.0,1484_1932_2163_2611,16.0,True,1.0,0.0,5
12,reg3,10,1621,16.0,1449_1621_1622_1813_2282_2473_2474_2646,16.0,True,1.0,0.0,5
12,reg3,11,1590,16.0,1566_1590_2505_2529,16.0,True,1.0,0.0,5
12,reg3,12,1180,15.0,689_702_1180_1461_2634_2915_3393_3406,15.0,True,1.0,0.0,5
12,reg3,13,819,16.0,725_819_3276_3370,16.0,True,1.0,0.0,5
12,reg3,14,1961,15.0,1961_2134,15.0,True,1.0,0.0,5
12,reg3,15,909,16.0,909_1805_2290_3186,16.0,True,1.0,0.0,5
12,reg3,16,742,16.0,742_3353,16.0,True,1.0,0.0,5
12,reg3,17,1956,16.0,1956_2139,16.0,True,1.0,0.0,5
12,reg3,18,947,15.0,947_1606_2489_3148,15.0,True,1.0,0.0,5
12,reg3,19,1890,16.0,1890_2205,16.0,True,1.0,0.0,5
12,reg3,20,1187,15.0,115_1187_1709_2386_2908_3980,15.0,True,1.0,0.0,5
12,reg3,21,1111,16.0,1111_1960_2135_2984,16.0,True,1.0,0.0,5
12,reg3,22,1830,18.0,1830_2265,18.0,True,1.0,0.0,5
12,reg3,23,125,16.0,125_3970,16.0,True,1.0,0.0,5
12,reg3,24,1693,15.0,1693_1957_2138_2402,15.0,True,1.0,0.0,5
12,reg3,25,1509,15.0,485_1477_1594_2501_2618_3610,16.0,False,0.9375,0.0,5
12,reg3,26,1481,16.0,1481_1896_1992_2103_2199_2614,16.0,True,1.0,0.0,5
12,reg3,27,1222,15.0,1222_2873,15.0,True,1.0,0.0,5
12,reg3,28,1735,15.0,1735_2360,15.0,True,1.0,0.0,5
12,reg3,29,407,16.0,407_3688,16.0,True,1.0,0.0,5
12,reg3,30,1628,16.0,1628_2467,16.0,True,1.0,0.0,5
12,reg3,31,654,15.0,626_654_3441_3469,15.0,True,1.0,0.0,5
12,reg3,32,189,16.0,189_1197_2898_3906,16.0,True,1.0,0.0,5
12,reg3,33,606,16.0,606_3489,16.0,True,1.0,0.0,5
12,reg3,34,756,16.0,500_725_756_3339_3370_3595,16.0,True,1.0,0.0,5
12,reg3,35,1126,15.0,1126_2969,15.0,True,1.0,0.0,5
12,reg3,36,1827,14.0,910_1127_1139_1379_1649_1803_1817_1827_1834_1841_1848_1930_1944_2151_2165_2247_2254_2261_2268_2278_2292_2446_2716_2956_2968_3185,14.0,True,1.0,0.0,5
12,reg3,37,1679,15.0,1606_1679_2416_2489,15.0,True,1.0,0.0,5
12,reg3,38,31,15.0,31_4064,15.0,True,1.0,0.0,5
12,reg3,39,366,16.0,359_366_1702_2393_3729_3736,16.0,True,1.0,0.0,5
12,reg3,40,876,16.0,729_876_3219_3366,16.0,True,1.0,0.0,5
